Internal_SKU,HEX,Hue_Degrees,Saturation_Value,Brightness_Value,Auto_Depth_Score
LC-GP-0328,#682050,320.0,69.2,40.8,6
LC-GP-0329,#701858,316.4,78.6,43.9,6
LC-GP-0330,#581840,322.5,72.7,34.5,7
LC-GP-0331,#683050,325.7,53.8,40.8,6
LC-GP-0332,#703050,330.0,57.1,43.9,6
LC-GP-0333,#501850,300.0,70.0,31.4,7
LC-GP-0334,#401840,300.0,62.5,25.1,8
LC-GP-0335,#701868,305.5,78.6,43.9,6
LC-GP-0336,#702860,313.3,64.3,43.9,6
LC-GP-0337,#482028,348.0,55.6,28.2,7
LC-GP-0338,#602040,330.0,66.7,37.6,7
LC-GP-0339,#601828,346.7,75.0,37.6,7
LC-GP-0340,#882050,332.3,76.5,53.3,5
LC-GP-0341,#783058,326.7,60.0,47.1,6
LC-GP-0342,#882040,341.5,76.5,53.3,5
LC-GP-0343,#801830,346.2,81.2,50.2,5
LC-GP-0344,#701828,349.1,78.6,43.9,6
LC-GP-0345,#602028,352.5,66.7,37.6,7
LC-GP-0346,#603850,324.0,41.7,37.6,7
LC-GP-0347,#704050,340.0,42.9,43.9,6
LC-GP-0348,#581020,346.7,81.8,34.5,7
LC-GP-0349,#502838,336.0,50.0,31.4,7
LC-GP-0350,#381818,0.0,57.1,22.0,8
LC-GP-0351,#481818,0.0,66.7,28.2,7
LC-GP-0352,#401818,0.0,62.5,25.1,8
LC-GP-0353,#905860,351.4,38.9,56.5,5
LC-GP-0354,#806068,345.0,25.0,50.2,5
LC-GP-0355,#905058,352.5,44.4,56.5,5
LC-GP-0356,#685060,320.0,23.1,40.8,6
LC-GP-0357,#503038,345.0,40.0,31.4,7
LC-GP-0358,#602830,351.4,58.3,37.6,7
LC-GP-0359,#603038,350.0,50.0,37.6,7
LC-GP-0360,#702830,353.3,64.3,43.9,6
LC-GP-0361,#784858,340.0,40.0,47.1,6
LC-GP-0362,#704050,340.0,42.9,43.9,6
LC-GP-0363,#784850,350.0,40.0,47.1,6
LC-GP-0364,#603838,0.0,41.7,37.6,7
LC-GP-0365,#704040,0.0,42.9,43.9,6
LC-GP-0366,#804848,0.0,43.8,50.2,5
LC-GP-0367,#684048,348.0,38.5,40.8,6
LC-GP-0368,#705048,12.0,35.7,43.9,6
LC-GP-0369,#A87888,340.0,28.6,65.9,4
LC-GP-0370,#B08088,350.0,27.3,69.0,4
LC-GP-0371,#B88080,0.0,30.4,72.2,4
LC-GP-0372,#B07878,0.0,31.8,69.0,4
LC-GP-0373,#A88080,0.0,23.8,65.9,4
LC-GP-0374,#A08088,345.0,20.0,62.7,4
LC-GP-0375,#B08080,0.0,27.3,69.0,4
LC-GP-0376,#B88080,0.0,30.4,72.2,4
LC-GP-0377,#A87070,0.0,33.3,65.9,4
LC-GP-0378,#C09898,0.0,20.8,75.3,3
LC-GP-0379,#B88890,350.0,26.1,72.2,4
LC-GP-0380,#B89090,0.0,21.7,72.2,4
LC-GP-0381,#C098A0,348.0,20.8,75.3,3
LC-GP-0382,#B090A0,330.0,18.2,69.0,4
LC-GP-0383,#B08890,348.0,22.7,69.0,4
LC-GP-0384,#C090A0,340.0,25.0,75.3,3
LC-GP-0385,#C89898,0.0,24.0,78.4,3
LC-GP-0386,#C09890,10.0,25.0,75.3,3
LC-GP-0387,#C8A8A8,0.0,16.0,78.4,3
LC-GP-0388,#B88880,8.6,30.4,72.2,4
LC-GP-0389,#C09088,8.6,29.2,75.3,3
LC-GP-0390,#B88880,8.6,30.4,72.2,4
LC-GP-0391,#C08888,0.0,29.2,75.3,3
LC-GP-0392,#B08888,0.0,22.7,69.0,4
LC-GP-0393,#B89090,0.0,21.7,72.2,4
LC-GP-0394,#B88080,0.0,30.4,72.2,4
LC-GP-0395,#B08880,10.0,27.3,69.0,4
LC-GP-0396,#C08890,351.4,29.2,75.3,3
LC-GP-0397,#B88888,0.0,26.1,72.2,4
LC-GP-0398,#C09898,0.0,20.8,75.3,3
LC-GP-0399,#B89090,0.0,21.7,72.2,4
LC-GP-0400,#B08888,0.0,22.7,69.0,4
