Item Name,SKU,Unit,Item Type,Category,Subcategory,Description,MOQ,Size,Packaging Type,HEX Color,Image URL
LC-GP-0783,LC-GP-0783,ml,Inventory,Gel Polish,Solid Colours,Colour: #384090,25,10ml,Bottle,#384090,
LC-GP-784,LC-GP-784,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-784.webp
LC-GP-0784,LC-GP-0784,ml,Inventory,Gel Polish,Solid Colours,Colour: #4008C8,25,10ml,Bottle,#4008C8,
LC-GP-785,LC-GP-785,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-785.webp
LC-GP-0785,LC-GP-0785,ml,Inventory,Gel Polish,Solid Colours,Colour: #3828B8,25,10ml,Bottle,#3828B8,
LC-GP-786,LC-GP-786,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-786.webp
LC-GP-0786,LC-GP-0786,ml,Inventory,Gel Polish,Solid Colours,Colour: #4040B8,25,10ml,Bottle,#4040B8,
LC-GP-787,LC-GP-787,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-787.webp
LC-GP-0787,LC-GP-0787,ml,Inventory,Gel Polish,Solid Colours,Colour: #2820B8,25,10ml,Bottle,#2820B8,
LC-GP-788,LC-GP-788,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-788.webp
LC-GP-0788,LC-GP-0788,ml,Inventory,Gel Polish,Solid Colours,Colour: #3020B0,25,10ml,Bottle,#3020B0,
LC-GP-789,LC-GP-789,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-789.webp
LC-GP-0789,LC-GP-0789,ml,Inventory,Gel Polish,Solid Colours,Colour: #4010B0,25,10ml,Bottle,#4010B0,
LC-GP-790,LC-GP-790,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-790.webp
LC-GP-0790,LC-GP-0790,ml,Inventory,Gel Polish,Solid Colours,Colour: #3018A8,25,10ml,Bottle,#3018A8,
LC-GP-791,LC-GP-791,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-791.webp
LC-GP-0791,LC-GP-0791,ml,Inventory,Gel Polish,Solid Colours,Colour: #301860,25,10ml,Bottle,#301860,
LC-GP-792,LC-GP-792,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-792.webp
LC-GP-0792,LC-GP-0792,ml,Inventory,Gel Polish,Solid Colours,Colour: #181888,25,10ml,Bottle,#181888,
LC-GP-793,LC-GP-793,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-793.webp
LC-GP-0793,LC-GP-0793,ml,Inventory,Gel Polish,Solid Colours,Colour: #303078,25,10ml,Bottle,#303078,
LC-GP-794,LC-GP-794,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-794.webp
LC-GP-0794,LC-GP-0794,ml,Inventory,Gel Polish,Solid Colours,Colour: #303098,25,10ml,Bottle,#303098,
LC-GP-795,LC-GP-795,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-795.webp
LC-GP-0795,LC-GP-0795,ml,Inventory,Gel Polish,Solid Colours,Colour: #2838A0,25,10ml,Bottle,#2838A0,
LC-GP-796,LC-GP-796,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-796.webp
LC-GP-0796,LC-GP-0796,ml,Inventory,Gel Polish,Solid Colours,Colour: #403898,25,10ml,Bottle,#403898,
LC-GP-797,LC-GP-797,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-797.webp
LC-GP-0797,LC-GP-0797,ml,Inventory,Gel Polish,Solid Colours,Colour: #403078,25,10ml,Bottle,#403078,
LC-GP-798,LC-GP-798,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-798.webp
LC-GP-0798,LC-GP-0798,ml,Inventory,Gel Polish,Solid Colours,Colour: #503888,25,10ml,Bottle,#503888,
LC-GP-799,LC-GP-799,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-799.webp
LC-GP-0799,LC-GP-0799,ml,Inventory,Gel Polish,Solid Colours,Colour: #184898,25,10ml,Bottle,#184898,
LC-GP-800,LC-GP-800,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-800.webp
LC-GP-0800,LC-GP-0800,ml,Inventory,Gel Polish,Solid Colours,Colour: #3820A8,25,10ml,Bottle,#3820A8,
LC-GP-801,LC-GP-801,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-801.webp
LC-GP-0801,LC-GP-0801,ml,Inventory,Gel Polish,Solid Colours,Colour: #183848,25,10ml,Bottle,#183848,
LC-GP-802,LC-GP-802,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-802.webp
